Date/Time,Mouse Button
2023-06-24 00:42:58.411876,Released
2023-06-24 00:43:19.211905,Pressed
2023-06-24 00:43:19.378105,Released
2023-06-24 00:43:20.909567,Pressed
2023-06-24 00:43:21.036394,Released
2023-06-24 00:43:24.763429,Pressed
2023-06-24 00:43:24.914943,Released
2023-06-24 00:43:25.774051,Pressed
2023-06-24 00:43:25.926030,Released
2023-06-24 00:43:28.611355,Pressed
2023-06-24 00:43:28.738420,Released
2023-06-24 00:43:29.733645,Pressed
2023-06-24 00:43:29.900172,Released
2023-06-24 00:43:30.659327,Pressed
2023-06-24 00:43:30.794322,Released
Date/Time,Mouse Button
2023-06-24 00:56:36.594842,Released
Date/Time,Mouse Button
2023-06-24 01:03:02.427643,Released
2023-06-24 01:03:03.229647,Pressed
2023-06-24 01:03:03.309307,Released
2023-06-24 01:03:03.463462,Pressed
2023-06-24 01:03:03.562039,Released
2023-06-24 01:03:04.123320,Pressed
2023-06-24 01:03:04.222933,Released
Date/Time,Mouse Button
2023-06-24 01:09:51.258202,Released
2023-06-24 01:10:00.322467,Pressed
2023-06-24 01:10:00.445986,Released
2023-06-24 01:10:00.550085,Pressed
2023-06-24 01:10:00.691636,Released
Date/Time,Mouse Button
2023-06-24 01:12:23.649920,Released
Date/Time,Mouse Button
2023-06-24 01:14:27.331575,Released
2023-06-24 01:14:27.958532,Pressed
2023-06-24 01:14:28.077731,Released
Date/Time,Mouse Button
2023-06-24 01:20:38.739082,Released
Date/Time,Mouse Button
2023-06-24 01:23:08.977863,Released
Date/Time,Mouse Button
2023-06-24 01:24:42.259919,Released
Date/Time,Mouse Button
2023-06-24 01:57:12.754290,Released
Date/Time,Mouse Button
2023-06-24 02:00:22.577666,Released
Date/Time,Mouse Button
2023-06-24 02:07:35.220025,Released
Date/Time,Mouse Button
2023-06-24 02:10:24.556056,Released
Date/Time,Mouse Button
2023-06-24 02:19:24.820427,Released
Date/Time,Mouse Button
2023-06-24 02:27:37.298106,Released
2023-06-24 02:27:43.192548,Pressed
2023-06-24 02:27:43.299615,Released
2023-06-24 02:27:43.550739,Pressed
2023-06-24 02:27:43.626783,Released
2023-06-24 02:27:43.865827,Pressed
2023-06-24 02:27:43.926349,Released
2023-06-24 02:27:44.424935,Pressed
2023-06-24 02:27:44.545836,Released
2023-06-24 02:27:44.777808,Pressed
2023-06-24 02:27:44.867817,Released
2023-06-24 02:27:44.983321,Pressed
2023-06-24 02:27:45.047511,Released
2023-06-24 02:27:45.157672,Pressed
2023-06-24 02:27:45.247525,Released
2023-06-24 02:27:45.304049,Pressed
2023-06-24 02:27:45.421932,Released
2023-06-24 02:27:45.477388,Pressed
2023-06-24 02:27:45.595721,Released
2023-06-24 02:27:45.648630,Pressed
2023-06-24 02:27:45.739748,Released
2023-06-24 02:27:45.822765,Pressed
2023-06-24 02:27:45.914358,Released
2023-06-24 02:27:45.997624,Pressed
2023-06-24 02:27:46.089264,Released
2023-06-24 02:27:46.173714,Pressed
2023-06-24 02:27:46.239778,Released
