Date/Time,Mouse Position
2023-06-24 00:43:20.628396,"(921, 355)"
2023-06-24 00:43:20.635395,"(860, 363)"
2023-06-24 00:43:20.643395,"(785, 374)"
2023-06-24 00:43:20.653396,"(743, 381)"
2023-06-24 00:43:20.661940,"(706, 386)"
2023-06-24 00:43:20.668950,"(667, 393)"
2023-06-24 00:43:20.674941,"(649, 396)"
2023-06-24 00:43:20.684950,"(637, 397)"
2023-06-24 00:43:20.690941,"(625, 398)"
2023-06-24 00:43:20.701952,"(620, 399)"
2023-06-24 00:43:20.706942,"(618, 399)"
2023-06-24 00:43:20.748103,"(619, 399)"
2023-06-24 00:43:21.084597,"(620, 399)"
2023-06-24 00:43:21.139252,"(620, 398)"
2023-06-24 00:43:21.148676,"(621, 398)"
2023-06-24 00:43:21.156039,"(622, 398)"
2023-06-24 00:43:21.170793,"(624, 397)"
2023-06-24 00:43:21.179796,"(625, 397)"
2023-06-24 00:43:21.188668,"(626, 397)"
2023-06-24 00:43:21.194632,"(628, 396)"
2023-06-24 00:43:21.202639,"(630, 395)"
2023-06-24 00:43:21.210632,"(632, 394)"
2023-06-24 00:43:21.218633,"(637, 394)"
2023-06-24 00:43:21.228628,"(639, 394)"
2023-06-24 00:43:21.235631,"(641, 393)"
2023-06-24 00:43:21.242629,"(645, 392)"
2023-06-24 00:43:21.253675,"(648, 391)"
2023-06-24 00:43:21.261150,"(652, 390)"
2023-06-24 00:43:21.269792,"(658, 389)"
2023-06-24 00:43:21.276701,"(661, 389)"
2023-06-24 00:43:21.283526,"(664, 389)"
2023-06-24 00:43:21.290505,"(668, 388)"
2023-06-24 00:43:21.302502,"(672, 387)"
2023-06-24 00:43:21.309502,"(674, 387)"
2023-06-24 00:43:21.317504,"(677, 386)"
2023-06-24 00:43:21.324501,"(679, 386)"
2023-06-24 00:43:21.332512,"(681, 386)"
2023-06-24 00:43:21.340077,"(683, 386)"
2023-06-24 00:43:21.349037,"(684, 386)"
2023-06-24 00:43:21.356038,"(686, 385)"
2023-06-24 00:43:21.365036,"(687, 385)"
2023-06-24 00:43:21.395804,"(689, 384)"
2023-06-24 00:43:21.447842,"(690, 384)"
2023-06-24 00:43:21.476525,"(691, 384)"
2023-06-24 00:43:21.504526,"(692, 384)"
2023-06-24 00:43:21.530536,"(694, 383)"
2023-06-24 00:43:21.556638,"(696, 383)"
2023-06-24 00:43:21.581197,"(697, 383)"
2023-06-24 00:43:21.606269,"(698, 382)"
2023-06-24 00:43:22.056152,"(698, 381)"
2023-06-24 00:43:26.984752,"(697, 378)"
2023-06-24 00:43:27.012741,"(697, 377)"
2023-06-24 00:43:27.042842,"(696, 376)"
2023-06-24 00:43:27.097844,"(696, 375)"
2023-06-24 00:43:27.730857,"(695, 375)"
2023-06-24 00:43:31.165615,"(699, 374)"
2023-06-24 00:43:31.195210,"(716, 371)"
2023-06-24 00:43:31.225843,"(749, 367)"
2023-06-24 00:43:31.255923,"(863, 364)"
2023-06-24 00:43:31.287885,"(1035, 366)"
2023-06-24 00:43:31.317512,"(1246, 366)"
2023-06-24 00:43:31.391375,"(1367, 431)"
Date/Time,Mouse Position
2023-06-24 00:56:36.716853,"(294, 470)"
2023-06-24 00:56:36.741929,"(312, 473)"
2023-06-24 00:56:36.768433,"(354, 479)"
2023-06-24 00:56:36.794046,"(506, 501)"
2023-06-24 00:56:36.820088,"(700, 531)"
2023-06-24 00:56:36.845557,"(943, 573)"
2023-06-24 00:56:36.871557,"(1225, 617)"
2023-06-24 00:56:36.935088,"(1367, 789)"
2023-06-24 00:57:30.566827,"(895, 437)"
2023-06-24 00:57:30.625880,"(780, 428)"
2023-06-24 00:57:30.677666,"(783, 427)"
2023-06-24 00:57:30.882101,"(756, 422)"
2023-06-24 00:57:30.932851,"(688, 412)"
2023-06-24 00:57:30.983991,"(660, 408)"
2023-06-24 00:57:31.287674,"(660, 407)"
2023-06-24 00:57:31.360669,"(662, 402)"
2023-06-24 00:57:31.411668,"(665, 399)"
2023-06-24 00:57:31.459185,"(666, 399)"
2023-06-24 00:57:31.552770,"(661, 399)"
2023-06-24 00:57:31.602718,"(667, 402)"
2023-06-24 00:57:31.650752,"(669, 404)"
2023-06-24 00:57:31.698585,"(670, 404)"
2023-06-24 00:57:31.962777,"(671, 404)"
2023-06-24 00:57:32.091908,"(672, 405)"
2023-06-24 00:57:44.523682,"(673, 405)"
2023-06-24 00:57:44.533683,"(690, 401)"
2023-06-24 00:57:44.539659,"(719, 395)"
2023-06-24 00:57:44.548650,"(766, 389)"
2023-06-24 00:57:44.554654,"(859, 385)"
2023-06-24 00:57:44.563683,"(937, 385)"
2023-06-24 00:57:44.573763,"(1023, 385)"
2023-06-24 00:57:44.703848,"(1367, 323)"
Date/Time,Mouse Position
2023-06-24 01:03:02.527197,"(326, 444)"
2023-06-24 01:03:02.552225,"(328, 444)"
2023-06-24 01:03:02.578746,"(341, 447)"
2023-06-24 01:03:02.604800,"(368, 448)"
2023-06-24 01:03:02.630800,"(411, 447)"
2023-06-24 01:03:02.654979,"(462, 447)"
2023-06-24 01:03:02.681996,"(502, 446)"
2023-06-24 01:03:02.681996,"(514, 444)"
2023-06-24 01:03:02.705995,"(538, 435)"
2023-06-24 01:03:02.732511,"(570, 421)"
2023-06-24 01:03:02.756511,"(615, 394)"
2023-06-24 01:03:02.787417,"(689, 344)"
2023-06-24 01:03:02.813417,"(730, 310)"
2023-06-24 01:03:02.838456,"(765, 281)"
2023-06-24 01:03:02.865472,"(785, 262)"
2023-06-24 01:03:02.889524,"(793, 253)"
2023-06-24 01:03:02.920472,"(794, 251)"
2023-06-24 01:03:02.946473,"(796, 248)"
2023-06-24 01:03:02.972473,"(796, 245)"
2023-06-24 01:03:02.998472,"(794, 243)"
2023-06-24 01:03:03.023475,"(791, 240)"
2023-06-24 01:03:03.048524,"(790, 234)"
2023-06-24 01:03:03.074518,"(795, 220)"
2023-06-24 01:03:03.100320,"(809, 204)"
2023-06-24 01:03:03.125935,"(822, 191)"
2023-06-24 01:03:03.151587,"(833, 179)"
2023-06-24 01:03:03.178634,"(839, 172)"
2023-06-24 01:03:03.202651,"(840, 171)"
2023-06-24 01:03:03.228649,"(842, 171)"
2023-06-24 01:03:03.255221,"(844, 170)"
2023-06-24 01:03:03.284293,"(845, 169)"
2023-06-24 01:03:03.309307,"(846, 168)"
2023-06-24 01:03:03.363048,"(861, 161)"
2023-06-24 01:03:03.387051,"(881, 150)"
2023-06-24 01:03:03.412998,"(894, 143)"
2023-06-24 01:03:03.437995,"(895, 143)"
2023-06-24 01:03:03.669087,"(897, 143)"
2023-06-24 01:03:03.696270,"(915, 146)"
2023-06-24 01:03:03.721266,"(946, 152)"
2023-06-24 01:03:03.747382,"(976, 153)"
2023-06-24 01:03:03.771126,"(993, 153)"
2023-06-24 01:03:03.797122,"(1016, 153)"
2023-06-24 01:03:03.821121,"(1026, 152)"
2023-06-24 01:03:03.847122,"(1030, 151)"
2023-06-24 01:03:03.872172,"(1039, 150)"
2023-06-24 01:03:03.898176,"(1092, 147)"
2023-06-24 01:03:03.923174,"(1158, 147)"
2023-06-24 01:03:03.949125,"(1198, 141)"
2023-06-24 01:03:03.976243,"(1206, 139)"
2023-06-24 01:03:04.001729,"(1205, 139)"
2023-06-24 01:03:04.345797,"(1206, 140)"
2023-06-24 01:03:04.371476,"(1240, 153)"
2023-06-24 01:03:04.438588,"(1367, 481)"
2023-06-24 01:03:05.056272,"(1205, 702)"
2023-06-24 01:03:05.093288,"(1130, 724)"
2023-06-24 01:03:05.127833,"(1129, 724)"
2023-06-24 01:03:16.884560,"(1136, 722)"
2023-06-24 01:03:16.911407,"(1192, 679)"
2023-06-24 01:03:16.936295,"(1198, 586)"
2023-06-24 01:03:16.962326,"(1181, 520)"
2023-06-24 01:03:16.987327,"(1186, 487)"
2023-06-24 01:03:17.013324,"(1214, 437)"
2023-06-24 01:03:17.038324,"(1246, 399)"
2023-06-24 01:03:17.065427,"(1281, 372)"
2023-06-24 01:03:17.090429,"(1300, 359)"
2023-06-24 01:03:17.116378,"(1314, 350)"
2023-06-24 01:03:17.141516,"(1338, 331)"
2023-06-24 01:03:17.166485,"(1364, 308)"
2023-06-24 01:03:17.217484,"(1367, 277)"
2023-06-24 01:03:19.575100,"(853, 406)"
2023-06-24 01:03:19.623100,"(625, 427)"
2023-06-24 01:03:19.688099,"(538, 436)"
2023-06-24 01:03:19.754099,"(539, 436)"
2023-06-24 01:03:19.814631,"(539, 435)"
2023-06-24 01:03:19.884153,"(570, 405)"
2023-06-24 01:03:19.968149,"(575, 403)"
2023-06-24 01:03:20.186470,"(576, 403)"
2023-06-24 01:03:20.296546,"(582, 402)"
2023-06-24 01:03:20.450052,"(651, 392)"
2023-06-24 01:03:20.451055,"(653, 392)"
2023-06-24 01:03:20.457574,"(655, 392)"
2023-06-24 01:03:20.467577,"(656, 391)"
2023-06-24 01:03:20.476579,"(657, 391)"
2023-06-24 01:03:20.482577,"(659, 391)"
2023-06-24 01:03:20.490579,"(661, 390)"
2023-06-24 01:03:20.502576,"(662, 390)"
2023-06-24 01:03:20.506576,"(664, 390)"
2023-06-24 01:03:20.514576,"(667, 389)"
2023-06-24 01:03:20.522576,"(670, 389)"
2023-06-24 01:03:20.531578,"(674, 388)"
2023-06-24 01:03:20.539579,"(679, 387)"
2023-06-24 01:03:20.549132,"(685, 386)"
2023-06-24 01:03:20.554129,"(696, 384)"
2023-06-24 01:03:20.563127,"(704, 383)"
2023-06-24 01:03:20.571131,"(712, 382)"
2023-06-24 01:03:20.580131,"(724, 380)"
2023-06-24 01:03:20.588126,"(733, 378)"
2023-06-24 01:03:20.600134,"(741, 377)"
2023-06-24 01:03:20.606124,"(754, 374)"
2023-06-24 01:03:20.611137,"(762, 373)"
2023-06-24 01:03:20.619126,"(772, 372)"
2023-06-24 01:03:20.627132,"(784, 370)"
2023-06-24 01:03:20.636126,"(793, 369)"
2023-06-24 01:03:20.645129,"(804, 367)"
2023-06-24 01:03:20.651125,"(819, 365)"
2023-06-24 01:03:20.659141,"(830, 362)"
2023-06-24 01:03:20.668126,"(842, 361)"
2023-06-24 01:03:20.678131,"(865, 357)"
2023-06-24 01:03:20.685129,"(883, 355)"
2023-06-24 01:03:20.690128,"(898, 352)"
2023-06-24 01:03:20.701139,"(927, 348)"
2023-06-24 01:03:20.715127,"(954, 343)"
2023-06-24 01:03:20.726162,"(973, 341)"
2023-06-24 01:03:20.732131,"(986, 338)"
2023-06-24 01:03:20.741129,"(998, 336)"
2023-06-24 01:03:20.747125,"(1020, 332)"
