Time,Mouse Position
2023-05-20 22:35:53.541233,"(1206, 126)"
2023-05-20 22:35:53.976107,"(1206, 126)"
2023-05-20 22:35:54.329161,"(1206, 126)"
2023-05-20 22:35:55.238548,"(1192, 719)"
2023-05-20 22:35:57.685397,"(1191, 247)"
2023-05-20 22:35:58.269237,"(1191, 248)"
2023-05-20 22:35:59.119323,"(1194, 394)"
2023-05-20 22:35:59.379472,"(1194, 393)"
2023-05-20 22:36:00.563968,"(1218, 717)"
2023-05-20 22:36:07.915755,"(1187, 704)"
2023-05-20 22:36:10.288917,"(1205, 225)"
2023-05-20 22:36:10.636987,"(1204, 234)"
2023-05-20 22:36:12.024711,"(1196, 259)"
2023-05-20 22:36:12.686843,"(1149, 725)"
Time,Mouse Position
2023-05-20 22:38:22.920557,"(414, 233)"
2023-05-20 22:38:25.149608,"(372, 451)"
2023-05-20 22:38:58.466587,"(1189, 733)"
Time,Mouse Position
2023-05-20 22:40:51.075752,"(420, 298)"
2023-05-20 22:40:54.922891,"(395, 463)"
2023-05-20 22:40:56.207393,"(1165, 731)"
2023-05-20 22:41:04.073569,"(1179, 714)"
Time,Mouse Position
2023-05-20 22:42:29.384961,"(423, 229)"
2023-05-20 22:42:32.285950,"(330, 437)"
2023-05-20 22:42:33.346482,"(1158, 707)"
2023-05-20 22:42:39.066342,"(1170, 722)"
2023-05-20 22:43:16.520737,"(1213, 265)"
2023-05-20 22:43:17.079763,"(1211, 265)"
2023-05-20 22:43:17.382422,"(1211, 266)"
2023-05-20 22:43:19.123803,"(1196, 134)"
2023-05-20 22:43:20.063042,"(1194, 103)"
2023-05-20 22:43:20.889882,"(1204, 253)"
2023-05-20 22:43:23.046367,"(1195, 607)"
2023-05-20 22:43:23.578571,"(1195, 607)"
2023-05-20 22:43:24.762608,"(1157, 697)"
