Time,Mouse Position
2023-05-20 06:29:58.210157,"(343, 454)"
2023-05-20 06:29:59.925016,"(1161, 720)"
Time,Mouse Position
2023-05-20 06:31:06.503232,"(431, 261)"
2023-05-20 06:31:11.468098,"(317, 459)"
2023-05-20 06:31:14.426728,"(1155, 720)"
2023-05-20 06:31:17.242949,"(1156, 724)"
2023-05-20 06:31:19.705668,"(1156, 724)"
2023-05-20 06:31:22.518130,"(1157, 725)"
Time,Mouse Position
Time,Mouse Position
2023-05-20 06:34:37.047326,"(382, 240)"
2023-05-20 06:34:38.151594,"(1230, 633)"
2023-05-20 06:34:38.382816,"(1219, 625)"
2023-05-20 06:34:38.796623,"(1197, 715)"
2023-05-20 06:34:39.455484,"(1213, 626)"
2023-05-20 06:34:39.734081,"(1219, 496)"
2023-05-20 06:34:40.362769,"(1196, 356)"
2023-05-20 06:34:40.711579,"(1201, 263)"
2023-05-20 06:34:41.082983,"(1207, 143)"
2023-05-20 06:34:41.762243,"(1146, 709)"
2023-05-20 06:34:46.058727,"(357, 454)"
2023-05-20 06:34:47.611721,"(1197, 128)"
2023-05-20 06:34:48.405020,"(1198, 626)"
2023-05-20 06:34:50.040940,"(1141, 719)"
2023-05-20 06:34:52.391231,"(1188, 712)"
2023-05-20 06:34:54.012781,"(1186, 711)"
2023-05-20 06:36:18.156440,"(1157, 732)"
Time,Mouse Position
2023-05-20 06:44:28.394362,"(407, 237)"
2023-05-20 06:44:29.409024,"(1187, 631)"
2023-05-20 06:44:29.756096,"(1178, 724)"
2023-05-20 06:44:31.321178,"(1162, 712)"
2023-05-20 06:44:33.863946,"(484, 465)"
2023-05-20 06:44:35.028384,"(1220, 119)"
2023-05-20 06:44:35.846316,"(1177, 727)"
2023-05-20 06:44:37.622438,"(1177, 266)"
2023-05-20 06:44:38.309603,"(1186, 725)"
2023-05-20 06:44:39.469893,"(1191, 366)"
2023-05-20 06:44:40.078227,"(1179, 744)"
Time,Mouse Position
2023-05-20 06:45:41.834596,"(383, 244)"
2023-05-20 06:45:42.657876,"(1181, 714)"
2023-05-20 06:45:44.887407,"(431, 452)"
2023-05-20 06:45:47.236855,"(1177, 127)"
2023-05-20 06:45:48.009882,"(1152, 717)"
2023-05-20 06:45:55.372518,"(1201, 595)"
2023-05-20 06:45:56.477075,"(1173, 711)"
2023-05-20 06:45:58.313844,"(1178, 364)"
2023-05-20 06:45:58.998317,"(1176, 712)"
Time,Mouse Position
2023-05-20 06:47:19.872573,"(403, 235)"
2023-05-20 06:47:20.777699,"(1141, 727)"
2023-05-20 06:47:24.250419,"(322, 435)"
2023-05-20 06:47:25.016556,"(1199, 620)"
2023-05-20 06:47:25.321329,"(1189, 493)"
2023-05-20 06:47:25.867152,"(1180, 721)"
Time,Mouse Position
2023-05-20 06:49:38.514971,"(383, 247)"
2023-05-20 06:49:39.286388,"(1196, 715)"
2023-05-20 06:49:43.278067,"(315, 460)"
2023-05-20 06:49:44.481612,"(1191, 489)"
2023-05-20 06:49:46.313116,"(1187, 734)"
Time,Mouse Position
