Date/Time,Image_ID,Mouse Position
2023-06-24 14:24:57.223074,1,"(338, 450)"
2023-06-24 14:24:57.245015,1,"(346, 454)"
2023-06-24 14:24:57.266924,1,"(363, 465)"
2023-06-24 14:24:57.287903,1,"(379, 475)"
2023-06-24 14:24:57.308845,1,"(409, 491)"
2023-06-24 14:24:57.331782,1,"(441, 506)"
2023-06-24 14:24:57.353724,1,"(459, 515)"
2023-06-24 14:24:57.375633,1,"(481, 530)"
2023-06-24 14:24:57.396610,1,"(501, 548)"
2023-06-24 14:24:57.418537,1,"(533, 572)"
2023-06-24 14:24:57.439462,1,"(567, 591)"
2023-06-24 14:24:57.460439,1,"(588, 598)"
2023-06-24 14:24:57.482381,1,"(621, 604)"
2023-06-24 14:24:57.511626,1,"(635, 605)"
2023-06-24 14:24:58.008288,1,"(635, 604)"
2023-06-24 14:24:58.031227,1,"(638, 599)"
2023-06-24 14:24:58.053168,1,"(640, 599)"
2023-06-24 14:24:58.096052,1,"(647, 605)"
2023-06-24 14:24:58.117995,1,"(661, 615)"
2023-06-24 14:24:58.141931,1,"(683, 627)"
2023-06-24 14:24:58.163873,1,"(707, 636)"
2023-06-24 14:24:58.189804,1,"(726, 645)"
2023-06-24 14:24:58.211744,1,"(735, 649)"
2023-06-24 14:24:58.234683,1,"(751, 656)"
2023-06-24 14:24:58.255628,1,"(766, 662)"
2023-06-24 14:24:58.277568,1,"(771, 663)"
2023-06-24 14:24:58.299509,1,"(773, 664)"
2023-06-24 14:24:58.374310,1,"(774, 664)"
2023-06-24 14:24:58.400242,1,"(775, 664)"
2023-06-24 14:24:58.452103,1,"(776, 664)"
2023-06-24 14:24:58.905889,1,"(781, 662)"
2023-06-24 14:24:58.927865,1,"(796, 654)"
2023-06-24 14:24:58.948880,1,"(826, 637)"
2023-06-24 14:24:58.970847,1,"(887, 602)"
2023-06-24 14:24:58.991757,1,"(938, 573)"
2023-06-24 14:24:59.012731,1,"(978, 547)"
2023-06-24 14:24:59.033647,1,"(998, 529)"
2023-06-24 14:24:59.056617,1,"(1021, 504)"
2023-06-24 14:24:59.078560,1,"(1038, 485)"
2023-06-24 14:24:59.100469,1,"(1047, 472)"
2023-06-24 14:24:59.122444,1,"(1062, 452)"
2023-06-24 14:24:59.143353,1,"(1071, 433)"
2023-06-24 14:24:59.165323,1,"(1077, 421)"
2023-06-24 14:24:59.186275,1,"(1090, 397)"
2023-06-24 14:24:59.209206,1,"(1103, 377)"
2023-06-24 14:24:59.230153,1,"(1110, 364)"
2023-06-24 14:24:59.251066,1,"(1120, 347)"
2023-06-24 14:24:59.272010,1,"(1123, 341)"
2023-06-24 14:24:59.293982,1,"(1129, 332)"
2023-06-24 14:24:59.314931,1,"(1133, 323)"
2023-06-24 14:24:59.336836,1,"(1136, 318)"
2023-06-24 14:24:59.359774,1,"(1142, 307)"
2023-06-24 14:24:59.379754,1,"(1144, 302)"
2023-06-24 14:24:59.401692,1,"(1147, 296)"
2023-06-24 14:24:59.422636,1,"(1149, 291)"
2023-06-24 14:24:59.444580,1,"(1152, 288)"
2023-06-24 14:24:59.466494,1,"(1155, 281)"
2023-06-24 14:24:59.488430,1,"(1158, 273)"
2023-06-24 14:24:59.510372,1,"(1160, 270)"
2023-06-24 14:24:59.530968,1,"(1161, 267)"
2023-06-24 14:24:59.552909,1,"(1162, 264)"
2023-06-24 14:24:59.596827,1,"(1165, 260)"
2023-06-24 14:24:59.617739,1,"(1165, 259)"
2023-06-24 14:24:59.641675,1,"(1166, 257)"
2023-06-24 14:24:59.642670,1,"(1167, 257)"
2023-06-24 14:24:59.663648,1,"(1168, 256)"
2023-06-24 14:24:59.684560,1,"(1169, 254)"
2023-06-24 14:24:59.706509,1,"(1171, 252)"
2023-06-24 14:24:59.728474,1,"(1172, 251)"
2023-06-24 14:24:59.750384,1,"(1172, 250)"
2023-06-24 14:24:59.771360,1,"(1173, 249)"
2023-06-24 14:24:59.792303,1,"(1174, 247)"
2023-06-24 14:24:59.814245,1,"(1175, 246)"
2023-06-24 14:24:59.835155,1,"(1176, 245)"
2023-06-24 14:24:59.856133,1,"(1177, 244)"
2023-06-24 14:24:59.898021,1,"(1177, 243)"
2023-06-24 14:24:59.918965,1,"(1178, 243)"
2023-06-24 14:25:00.002709,1,"(1178, 242)"
2023-06-24 14:25:00.025646,1,"(1178, 240)"
2023-06-24 14:25:00.048618,1,"(1179, 239)"
2023-06-24 14:25:00.070550,1,"(1180, 237)"
2023-06-24 14:25:00.092469,1,"(1180, 235)"
2023-06-24 14:25:00.114410,1,"(1180, 234)"
2023-06-24 14:25:00.135387,1,"(1180, 233)"
2023-06-24 14:25:00.178272,1,"(1180, 232)"
2023-06-24 14:25:00.199216,1,"(1180, 230)"
2023-06-24 14:25:00.221124,1,"(1180, 227)"
2023-06-24 14:25:00.243101,1,"(1180, 225)"
2023-06-24 14:25:00.264044,1,"(1180, 224)"
2023-06-24 14:25:00.306737,1,"(1182, 224)"
2023-06-24 14:25:00.329676,1,"(1185, 221)"
2023-06-24 14:25:00.353591,1,"(1187, 218)"
2023-06-24 14:25:00.375529,1,"(1188, 215)"
2023-06-24 14:25:00.396496,1,"(1188, 212)"
2023-06-24 14:25:00.417408,1,"(1189, 208)"
2023-06-24 14:25:00.439377,1,"(1190, 206)"
2023-06-24 14:25:00.461289,1,"(1190, 203)"
2023-06-24 14:25:00.482266,1,"(1190, 199)"
2023-06-24 14:25:00.504209,1,"(1191, 193)"
2023-06-24 14:25:00.526150,1,"(1192, 188)"
