Date/Time,Image_ID,Mouse Button
2023-06-24 14:24:56.748299,1,Released
2023-06-24 14:25:02.061526,1,Pressed
2023-06-24 14:25:02.126353,1,Released
2023-06-24 14:25:02.256007,1,Pressed
2023-06-24 14:25:02.320863,1,Released
2023-06-24 14:25:02.426552,1,Pressed
2023-06-24 14:25:02.512323,1,Released
2023-06-24 14:25:02.604076,1,Pressed
2023-06-24 14:25:02.694835,1,Released
2023-06-24 14:25:04.193608,1,Pressed
2023-06-24 14:25:04.257438,1,Released
2023-06-24 14:25:08.716487,1,Pressed
2023-06-24 14:25:08.778321,1,Released
2023-06-24 14:25:08.881047,1,Pressed
2023-06-24 14:25:08.964824,1,Released
2023-06-24 14:25:09.861336,1,Pressed
2023-06-24 14:25:09.907245,1,Released
2023-06-24 14:25:09.971044,1,Pressed
2023-06-24 14:25:10.054847,1,Released
2023-06-24 14:25:10.861675,1,Pressed
2023-06-24 14:25:10.925493,1,Released
2023-06-24 14:25:11.010265,1,Pressed
2023-06-24 14:25:11.094041,1,Released
2023-06-24 14:25:11.821286,1,Pressed
2023-06-24 14:25:11.879165,2,Released
2023-06-24 14:25:15.325019,2,Pressed
2023-06-24 14:25:15.396826,3,Released
2023-06-24 14:25:16.688417,3,Pressed
2023-06-24 14:25:16.779161,3,Released
2023-06-24 14:25:16.841993,3,Pressed
2023-06-24 14:25:16.931755,3,Released
2023-06-24 14:25:16.996581,3,Pressed
2023-06-24 14:25:17.081355,3,Released
2023-06-24 14:25:17.148179,3,Pressed
2023-06-24 14:25:17.253894,3,Released
2023-06-24 14:25:18.388863,3,Pressed
2023-06-24 14:25:18.452719,3,Released
2023-06-24 14:25:19.437530,3,Pressed
2023-06-24 14:25:19.503357,3,Released
2023-06-24 14:25:20.371065,3,Pressed
2023-06-24 14:25:20.420904,4,Released
2023-06-24 14:25:21.506003,4,Pressed
2023-06-24 14:25:21.563850,4,Released
2023-06-24 14:25:21.636654,4,Pressed
2023-06-24 14:25:21.725447,4,Released
2023-06-24 14:25:21.791242,4,Pressed
2023-06-24 14:25:21.882996,4,Released
2023-06-24 14:25:22.496358,4,Pressed
2023-06-24 14:25:22.560187,4,Released
2023-06-24 14:25:22.643985,4,Pressed
2023-06-24 14:25:22.706824,4,Released
2023-06-24 14:25:22.793564,4,Pressed
2023-06-24 14:25:22.857422,4,Released
2023-06-24 14:25:23.418128,4,Pressed
2023-06-24 14:25:23.488496,5,Released
2023-06-24 14:25:24.485849,5,Pressed
2023-06-24 14:25:24.528752,5,Released
2023-06-24 14:25:24.655382,5,Pressed
2023-06-24 14:25:24.737164,5,Released
2023-06-24 14:25:24.833906,5,Pressed
2023-06-24 14:25:24.921860,5,Released
2023-06-24 14:25:25.012612,5,Pressed
2023-06-24 14:25:25.085407,5,Released
2023-06-24 14:25:25.761587,5,Pressed
2023-06-24 14:25:25.805472,5,Released
2023-06-24 14:25:25.894233,5,Pressed
2023-06-24 14:25:25.966041,5,Released
2023-06-24 14:25:26.050816,5,Pressed
2023-06-24 14:25:26.134592,5,Released
2023-06-24 14:25:27.154886,5,Pressed
2023-06-24 14:25:27.205744,6,Released
2023-06-24 14:25:28.739986,6,Pressed
2023-06-24 14:25:28.809801,6,Released
2023-06-24 14:25:28.898590,6,Pressed
2023-06-24 14:25:28.977362,6,Released
2023-06-24 14:25:33.772620,6,Pressed
2023-06-24 14:25:33.839470,6,Released
2023-06-24 14:25:33.924216,6,Pressed
2023-06-24 14:25:34.008989,6,Released
2023-06-24 14:25:37.060372,6,Pressed
2023-06-24 14:25:37.157147,6,Released
2023-06-24 14:25:37.208039,6,Pressed
2023-06-24 14:25:37.295777,6,Released
2023-06-24 14:25:37.707678,6,Pressed
2023-06-24 14:25:37.770509,6,Released
2023-06-24 14:25:37.833341,6,Pressed
2023-06-24 14:25:37.923099,6,Released
2023-06-24 14:25:38.759029,6,Pressed
2023-06-24 14:25:38.807897,7,Released
2023-06-24 14:25:41.035954,7,Pressed
2023-06-24 14:25:41.104771,7,Released
2023-06-24 14:25:41.429754,7,Pressed
2023-06-24 14:25:41.480616,8,Released
2023-06-24 14:25:42.865448,8,Pressed
2023-06-24 14:25:42.910328,8,Released
2023-06-24 14:25:42.995101,8,Pressed
2023-06-24 14:25:43.079876,8,Released
2023-06-24 14:25:43.143704,8,Pressed
2023-06-24 14:25:43.226482,8,Released
2023-06-24 14:25:43.311285,8,Pressed
2023-06-24 14:25:43.375114,8,Released
2023-06-24 14:25:44.487128,8,Pressed
2023-06-24 14:25:44.549964,8,Released
2023-06-24 14:25:44.634733,8,Pressed
2023-06-24 14:25:44.696596,8,Released
2023-06-24 14:25:44.786356,8,Pressed
2023-06-24 14:25:44.848191,8,Released
2023-06-24 14:25:44.952883,8,Pressed
2023-06-24 14:25:45.015715,8,Released
2023-06-24 14:25:45.672001,8,Pressed
2023-06-24 14:25:45.727823,9,Released
